IP_Address,Date_Time,Method,URL,Status_Code,Response_Time_ms,Browser
192.168.1.23,2026-08-01 10:54:41,POST,/products/item102,200,497,Firefox
192.168.1.26,2026-08-01 10:52:28,POST,/search?q=laptop,200,107,Edge
192.168.1.40,2026-08-01 09:20:32,POST,/products/item101,200,475,Safari
192.168.1.30,2026-08-01 09:39:56,POST,/products/item101,200,74,Chrome
192.168.1.26,2026-08-01 10:18:09,GET,/login,500,332,Firefox
192.168.1.12,2026-08-01 10:07:30,GET,/index.html,403,462,Safari
192.168.1.20,2026-08-01 10:25:08,GET,/products/item102,302,714,Firefox
192.168.1.26,2026-08-01 09:00:07,GET,/checkout,401,312,Chrome
192.168.1.33,2026-08-01 09:26:14,GET,/products/item101,404,288,Edge
192.168.1.35,2026-08-01 09:10:20,GET,/search?q=phone,401,660,Edge
192.168.1.36,2026-08-01 10:05:15,GET,/logout,302,14,Firefox
192.168.1.19,2026-08-01 09:03:24,POST,/payment,302,185,Chrome
192.168.1.21,2026-08-01 10:20:45,GET,/payment,200,787,Safari
192.168.1.21,2026-08-01 10:17:07,GET,/logout,200,190,Edge
192.168.1.26,2026-08-01 09:45:14,GET,/products/item102,200,397,Safari
192.168.1.32,2026-08-01 10:30:07,GET,/payment,200,270,Chrome
192.168.1.28,2026-08-01 09:05:20,POST,/checkout,200,366,Chrome
192.168.1.12,2026-08-01 09:14:46,POST,/login,200,478,Chrome
192.168.1.18,2026-08-01 09:04:50,GET,/admin,200,361,Chrome
192.168.1.26,2026-08-01 10:16:07,POST,/products/item102,401,356,Chrome
192.168.1.18,2026-08-01 09:46:32,POST,/index.html,200,88,Edge
192.168.1.15,2026-08-01 10:21:50,POST,/logout,302,706,Edge
192.168.1.37,2026-08-01 10:36:18,GET,/login,302,178,Safari
192.168.1.40,2026-08-01 09:30:54,GET,/about,200,419,Edge
192.168.1.18,2026-08-01 09:52:06,POST,/payment,500,350,Safari
192.168.1.29,2026-08-01 10:13:22,GET,/logout,200,547,Chrome
192.168.1.36,2026-08-01 10:05:21,GET,/payment,401,712,Firefox
192.168.1.38,2026-08-01 10:19:04,POST,/checkout,401,302,Safari
192.168.1.26,2026-08-01 09:42:12,GET,/login,200,621,Firefox
192.168.1.40,2026-08-01 09:35:22,GET,/products/item102,200,777,Edge
192.168.1.26,2026-08-01 09:05:11,POST,/logout,200,103,Edge
192.168.1.14,2026-08-01 10:43:42,POST,/products/item102,404,689,Edge
192.168.1.28,2026-08-01 10:53:35,GET,/logout,401,723,Safari
192.168.1.10,2026-08-01 10:38:36,POST,/contact,404,736,Edge
192.168.1.10,2026-08-01 10:49:58,GET,/checkout,401,186,Firefox
192.168.1.36,2026-08-01 10:13:49,POST,/login,404,291,Safari
192.168.1.15,2026-08-01 09:41:54,GET,/login,500,300,Safari
192.168.1.36,2026-08-01 10:12:29,GET,/payment,200,33,Safari
192.168.1.17,2026-08-01 09:21:15,GET,/payment,401,265,Firefox
192.168.1.16,2026-08-01 09:55:25,POST,/products/item101,401,763,Chrome
192.168.1.34,2026-08-01 09:22:46,POST,/products/item101,200,239,Edge
192.168.1.15,2026-08-01 09:30:14,POST,/contact,200,672,Chrome
192.168.1.40,2026-08-01 10:49:51,GET,/admin,401,519,Safari
192.168.1.15,2026-08-01 10:47:03,POST,/contact,200,743,Firefox
192.168.1.14,2026-08-01 10:32:15,GET,/products/item102,401,428,Edge
192.168.1.17,2026-08-01 09:07:24,GET,/admin,200,211,Firefox
192.168.1.15,2026-08-01 09:34:35,GET,/products/item101,500,221,Chrome
192.168.1.34,2026-08-01 10:10:19,POST,/logout,404,704,Firefox
192.168.1.20,2026-08-01 10:37:18,GET,/search?q=phone,401,543,Chrome
192.168.1.31,2026-08-01 10:16:25,GET,/products/item101,403,388,Firefox
192.168.1.23,2026-08-01 09:52:24,POST,/logout,200,592,Safari
192.168.1.12,2026-08-01 10:22:48,GET,/products,200,311,Chrome
192.168.1.18,2026-08-01 09:56:23,POST,/about,403,745,Safari
192.168.1.14,2026-08-01 10:38:59,GET,/admin,200,121,Chrome
192.168.1.16,2026-08-01 09:48:50,GET,/products/item102,200,754,Edge
192.168.1.27,2026-08-01 09:21:23,POST,/checkout,500,362,Edge
192.168.1.34,2026-08-01 09:03:53,GET,/contact,200,124,Chrome
192.168.1.32,2026-08-01 10:09:28,GET,/products,200,159,Safari
192.168.1.14,2026-08-01 10:51:40,POST,/logout,200,242,Firefox
192.168.1.39,2026-08-01 09:11:24,GET,/search?q=phone,200,374,Firefox
192.168.1.32,2026-08-01 10:57:25,POST,/payment,200,254,Edge
192.168.1.27,2026-08-01 10:47:17,GET,/payment,200,242,Firefox
192.168.1.31,2026-08-01 09:21:53,GET,/payment,200,256,Chrome
192.168.1.14,2026-08-01 10:05:05,POST,/logout,500,766,Safari
192.168.1.34,2026-08-01 09:53:29,GET,/products/item101,302,287,Safari
192.168.1.20,2026-08-01 10:39:24,POST,/search?q=laptop,302,485,Edge
192.168.1.14,2026-08-01 09:38:44,GET,/payment,200,230,Edge
192.168.1.19,2026-08-01 10:32:32,GET,/logout,200,520,Chrome
192.168.1.18,2026-08-01 10:27:58,POST,/search?q=phone,302,213,Firefox
192.168.1.39,2026-08-01 10:34:59,GET,/products/item102,401,256,Chrome
192.168.1.13,2026-08-01 09:07:32,POST,/search?q=laptop,401,46,Safari
192.168.1.23,2026-08-01 10:24:49,GET,/login,302,552,Safari
192.168.1.40,2026-08-01 09:46:10,GET,/payment,200,196,Firefox
192.168.1.23,2026-08-01 09:21:15,POST,/about,401,312,Firefox
192.168.1.40,2026-08-01 11:00:00,POST,/contact,200,535,Safari
192.168.1.23,2026-08-01 10:17:11,GET,/login,302,274,Safari
192.168.1.33,2026-08-01 09:54:03,GET,/contact,404,399,Firefox
192.168.1.21,2026-08-01 09:17:44,POST,/about,200,787,Firefox
192.168.1.14,2026-08-01 10:38:45,GET,/products/item102,403,688,Chrome
192.168.1.23,2026-08-01 10:15:10,POST,/checkout,200,148,Chrome
192.168.1.34,2026-08-01 09:25:24,GET,/login,401,206,Chrome
192.168.1.26,2026-08-01 09:55:27,POST,/payment,401,514,Edge
192.168.1.40,2026-08-01 10:06:44,POST,/index.html,302,220,Chrome
192.168.1.33,2026-08-01 10:40:47,GET,/login,302,399,Edge
192.168.1.18,2026-08-01 09:20:49,POST,/checkout,200,101,Chrome
192.168.1.14,2026-08-01 10:24:47,POST,/search?q=phone,200,108,Safari
192.168.1.26,2026-08-01 10:06:01,GET,/logout,404,211,Safari
192.168.1.10,2026-08-01 10:03:40,GET,/products/item101,302,726,Edge
192.168.1.32,2026-08-01 09:47:13,POST,/login,500,733,Firefox
192.168.1.22,2026-08-01 10:57:55,GET,/search?q=phone,200,768,Edge
192.168.1.26,2026-08-01 09:03:54,GET,/about,200,672,Chrome
192.168.1.36,2026-08-01 09:43:19,POST,/about,401,538,Safari
192.168.1.18,2026-08-01 10:31:45,GET,/checkout,200,108,Edge
192.168.1.30,2026-08-01 09:04:35,GET,/contact,302,795,Chrome
192.168.1.28,2026-08-01 09:37:50,POST,/search?q=phone,403,95,Chrome
192.168.1.39,2026-08-01 09:37:35,POST,/index.html,302,768,Chrome
192.168.1.36,2026-08-01 09:34:52,POST,/contact,500,193,Firefox
192.168.1.28,2026-08-01 09:01:26,POST,/logout,404,204,Safari
192.168.1.12,2026-08-01 09:21:57,GET,/contact,200,204,Edge
192.168.1.26,2026-08-01 10:40:56,POST,/checkout,200,438,Safari
